0
0 1 2 
3 4 5 
6 7 8 
9 10 11 
12 13 14 
15 16 17 
18 19 20 
21 22 23 
24 25 26 

0 15 25 
1 18 21 
2 16 23 
3 8 24 
7 14 22 
4 6 17 
5 11 19 
10 12 26 
9 13 20 

0 5 26 
1 3 22 
2 10 18 
13 17 25 
11 16 21 
6 19 23 
7 12 20 
4 14 24 
8 9 15 

0 10 13 
1 5 24 
2 15 19 
8 22 26 
3 9 23 
7 17 18 
14 21 25 
6 11 12 
4 16 20 

0 4 21 
1 9 26 
2 14 17 
19 22 25 
6 18 24 
5 13 16 
3 10 20 
7 11 15 
8 12 23 

0 23 24 
1 11 14 
2 9 22 
3 18 25 
8 16 19 
6 13 26 
4 7 10 
15 20 21 
5 12 17 

0 20 22 
1 12 25 
2 21 24 
6 9 16 
10 17 19 
8 14 18 
4 11 13 
5 15 23 
3 7 26 

0 3 19 
1 4 23 
2 8 11 
6 20 25 
5 10 14 
12 15 22 
7 13 21 
16 18 26 
9 17 24 

0 7 9 
1 6 10 
2 5 20 
13 18 23 
4 8 25 
11 17 26 
12 19 21 
16 22 24 
3 14 15 

0 6 14 
1 7 16 
2 3 12 
11 18 22 
13 19 24 
4 15 26 
10 23 25 
5 9 21 
8 17 20 

0 12 16 
1 8 13 
2 7 25 
11 20 23 
4 9 18 
10 15 24 
3 17 21 
5 6 22 
14 19 26 

