2
0 1 2 3 4 
5 6 7 8 9 
10 11 12 13 14 
15 16 17 18 19 
20 21 22 23 24 
25 26 27 28 29 
30 31 32 33 34 
35 36 37 38 39 
40 41 42 43 44 
45 46 47 48 49 

0 5 13 20 33 
1 11 18 26 45 
2 9 16 35 44 
3 23 29 39 48 
4 19 36 40 49 
8 12 17 25 30 
7 24 31 38 43 
6 21 32 41 46 
14 15 28 37 42 
10 22 27 34 47 

0 9 19 29 32 
1 6 34 38 40 
2 5 21 37 47 
3 12 16 24 49 
4 8 14 41 48 
15 26 31 36 46 
10 23 28 30 35 
7 11 20 27 44 
13 18 22 25 43 
17 33 39 42 45 

0 6 17 24 36 
1 12 15 20 39 
2 7 10 42 48 
3 21 26 33 40 
4 13 31 44 47 
19 23 25 38 45 
11 22 28 41 49 
9 34 37 43 46 
8 18 27 32 35 
5 14 16 29 30 

0 8 16 31 39 
1 21 27 43 48 
2 15 25 34 41 
3 7 13 19 37 
4 9 18 30 42 
11 17 29 35 46 
12 23 33 36 47 
5 24 28 32 40 
10 20 26 38 49 
6 14 22 44 45 

0 26 30 41 47 
1 24 25 37 44 
2 8 13 36 45 
3 17 22 32 38 
4 5 12 27 46 
9 11 16 23 40 
6 20 28 31 48 
7 14 18 39 49 
10 15 29 33 43 
19 21 34 35 42 

0 7 12 28 45 
1 13 23 32 42 
2 24 30 39 46 
3 9 14 25 31 
4 10 17 37 40 
16 27 33 38 41 
5 22 26 35 48 
18 20 29 34 36 
8 15 21 44 49 
6 11 19 43 47 

0 11 15 38 48 
1 14 19 33 46 
2 12 22 31 40 
3 5 10 18 41 
4 20 35 43 45 
8 24 29 42 47 
7 16 25 32 36 
9 13 21 28 39 
17 23 26 34 44 
6 27 30 37 49 

