0
0 1 2 3 
4 5 6 7 
8 9 10 11 
12 13 14 15 
16 17 18 19 
20 21 22 23 
24 25 26 27 
28 29 30 31 
32 33 34 35 

0 14 19 26 
1 7 10 34 
2 5 8 22 
3 11 31 32 
6 13 16 30 
17 21 24 35 
15 23 27 29 
12 18 25 33 
4 9 20 28 

0 10 20 30 
1 15 26 28 
2 13 18 31 
3 24 29 33 
5 9 17 27 
6 11 19 22 
7 14 16 35 
8 23 25 34 
4 12 21 32 

0 16 23 33 
1 8 18 21 
2 11 12 26 
3 10 14 27 
7 17 22 28 
4 25 30 35 
5 13 20 32 
6 15 24 31 
9 19 29 34 

0 6 12 29 
1 9 13 35 
2 4 15 34 
3 19 20 25 
8 14 17 32 
18 23 24 28 
7 27 30 33 
5 11 16 21 
10 22 26 31 

0 15 22 35 
1 5 14 33 
2 6 21 25 
3 17 23 30 
9 18 26 32 
8 12 19 28 
7 11 20 29 
4 10 13 24 
16 27 31 34 

0 8 13 27 
1 22 25 32 
2 17 20 33 
3 7 15 21 
4 16 26 29 
11 14 18 34 
5 19 24 30 
6 10 28 35 
9 12 23 31 

0 21 28 34 
1 12 16 24 
2 10 29 32 
3 5 26 35 
6 18 20 27 
4 8 31 33 
9 14 22 30 
11 15 17 25 
7 13 19 23 

