0
0 1 2 3 4 5 
6 7 8 9 10 11 
12 13 14 15 16 17 
18 19 20 21 22 23 
24 25 26 27 28 29 
30 31 32 33 34 35 
36 37 38 39 40 41 
42 43 44 45 46 47 
48 49 50 51 52 53 
54 55 56 57 58 59 

0 10 15 24 38 56 
1 26 33 39 49 58 
2 7 23 32 51 54 
3 22 25 35 45 48 
4 17 21 28 36 43 
5 11 14 18 47 52 
9 19 30 37 46 55 
6 13 34 41 42 59 
16 20 27 40 44 50 
8 12 29 31 53 57 

0 14 22 28 34 44 
1 8 35 43 51 55 
2 15 29 39 46 52 
3 16 18 26 31 41 
4 6 27 45 49 54 
5 10 12 33 37 42 
13 20 30 38 48 57 
9 23 25 36 53 56 
7 21 24 47 50 58 
11 17 19 32 40 59 

0 16 30 39 45 51 
1 11 23 31 38 50 
2 12 20 28 35 59 
3 8 14 32 36 46 
4 19 26 42 52 56 
5 6 24 40 48 55 
10 13 27 43 53 58 
7 18 29 34 37 49 
9 17 22 41 47 54 
15 21 25 33 44 57 

0 13 25 31 46 54 
1 7 17 27 48 56 
2 8 34 40 45 58 
3 9 20 33 43 52 
4 12 18 39 50 55 
5 15 19 28 41 51 
11 22 24 36 42 49 
6 16 32 37 47 57 
10 23 29 30 44 59 
14 21 26 35 38 53 

0 9 21 27 32 42 
1 18 28 30 40 54 
2 10 14 41 49 57 
3 11 12 44 51 58 
4 8 25 38 47 59 
5 17 26 34 46 50 
7 15 20 45 53 55 
13 23 24 35 37 52 
16 19 29 33 36 48 
6 22 31 39 43 56 

