0
0 1 2 3 4 
5 6 7 8 9 
10 11 12 13 14 
15 16 17 18 19 
20 21 22 23 24 
25 26 27 28 29 
30 31 32 33 34 
35 36 37 38 39 
40 41 42 43 44 
45 46 47 48 49 

0 22 25 41 45 
1 6 10 15 44 
2 8 17 38 47 
3 18 34 37 42 
4 9 14 29 33 
13 19 21 39 46 
7 11 24 26 32 
16 27 30 36 43 
5 12 20 35 48 
23 28 31 40 49 

0 6 14 32 42 
1 11 28 38 46 
2 21 30 37 45 
3 7 10 16 48 
4 13 15 26 49 
17 25 31 35 43 
12 23 29 34 36 
5 24 33 40 47 
8 19 22 27 44 
9 18 20 39 41 

0 9 11 19 43 
1 5 13 16 37 
2 15 29 31 42 
3 8 24 35 41 
4 23 25 39 47 
17 22 28 32 48 
7 20 27 38 45 
10 18 26 33 36 
6 12 30 40 46 
14 21 34 44 49 

0 7 12 17 33 
1 19 23 30 48 
2 6 13 22 34 
3 26 39 40 45 
4 27 35 42 46 
5 14 15 36 41 
24 29 37 43 49 
8 11 16 20 31 
9 10 21 28 47 
18 25 32 38 44 

0 16 34 35 47 
1 12 18 24 45 
2 27 33 41 49 
3 9 13 31 38 
4 5 10 32 43 
14 17 23 26 46 
8 21 25 42 48 
7 15 22 37 40 
11 29 30 39 44 
6 19 20 28 36 

0 15 24 39 48 
1 17 36 42 49 
2 9 16 26 44 
3 14 20 25 30 
4 7 21 31 41 
10 19 34 38 40 
8 13 28 43 45 
5 18 22 29 46 
6 11 23 33 35 
12 27 32 37 47 

