2
0 1 2 3 
4 5 6 7 
8 9 10 11 
12 13 14 15 
16 17 18 19 
20 21 22 23 
24 25 26 27 
28 29 30 31 

0 4 8 14 
1 7 22 24 
2 10 18 26 
3 5 21 29 
6 19 27 30 
9 13 16 28 
15 17 20 25 
11 12 23 31 

0 10 15 29 
1 14 16 30 
2 5 12 17 
3 19 23 24 
6 11 13 18 
9 21 25 31 
7 8 20 27 
4 22 26 28 

0 13 17 21 
1 9 15 19 
2 8 23 28 
3 7 10 14 
5 11 24 30 
18 22 27 29 
4 12 16 25 
6 20 26 31 

0 12 26 30 
1 4 10 20 
2 16 21 24 
3 6 9 22 
7 11 17 28 
5 15 27 31 
8 13 19 29 
14 18 23 25 

0 16 23 27 
1 6 25 28 
2 4 11 15 
3 18 20 30 
7 9 12 29 
14 19 21 26 
10 13 24 31 
5 8 17 22 

0 7 19 25 
1 5 9 26 
2 14 22 31 
3 4 13 27 
6 8 12 24 
15 18 21 28 
11 16 20 29 
10 17 23 30 

0 5 20 28 
1 11 21 27 
2 13 25 30 
3 8 16 31 
6 14 17 29 
10 12 19 22 
4 9 18 24 
7 15 23 26 

