0
0 1 2 3 4 5 6 7 8 
9 10 11 12 13 14 15 16 17 
18 19 20 21 22 23 24 25 26 
27 28 29 30 31 32 33 34 35 
36 37 38 39 40 41 42 43 44 
45 46 47 48 49 50 51 52 53 
54 55 56 57 58 59 60 61 62 
63 64 65 66 67 68 69 70 71 
72 73 74 75 76 77 78 79 80 

0 13 24 28 42 47 55 66 80 
1 10 26 35 40 51 54 64 76 
2 16 25 34 38 48 60 67 75 
3 9 19 32 41 49 57 68 74 
4 12 21 30 43 50 61 65 78 
5 14 23 31 44 46 59 69 72 
6 11 18 27 39 53 56 63 73 
7 15 22 33 37 52 62 70 77 
8 17 20 29 36 45 58 71 79 

0 11 20 31 37 49 54 67 78 
1 13 19 27 44 48 61 70 79 
2 14 18 33 36 47 57 65 76 
3 10 21 34 42 52 56 71 72 
4 16 22 29 39 51 55 69 74 
5 17 26 28 38 50 62 68 73 
6 9 25 35 43 45 59 66 77 
7 12 24 32 40 46 58 63 75 
8 15 23 30 41 53 60 64 80 

