0
0 1 2 3 4 5 6 
7 8 9 10 11 12 13 
14 15 16 17 18 19 20 
21 22 23 24 25 26 27 
28 29 30 31 32 33 34 
35 36 37 38 39 40 41 
42 43 44 45 46 47 48 
49 50 51 52 53 54 55 
56 57 58 59 60 61 62 

0 17 27 29 39 44 62 
1 7 34 40 46 50 60 
2 9 19 36 48 52 61 
3 11 20 26 33 53 58 
4 8 16 23 43 54 56 
5 18 21 28 37 47 59 
6 13 15 22 31 35 51 
10 24 32 41 42 55 57 
12 14 25 30 38 45 49 

0 8 15 36 47 53 57 
1 10 18 23 33 45 52 
2 20 21 29 40 43 49 
3 14 28 35 42 54 60 
4 11 22 30 41 44 61 
5 12 19 24 34 51 62 
6 9 25 39 46 55 59 
13 17 26 32 38 50 56 
7 16 27 31 37 48 58 

0 10 26 37 43 51 60 
1 9 17 21 30 42 58 
2 12 15 23 28 44 55 
3 16 24 29 36 50 59 
4 20 25 34 35 52 57 
5 8 22 32 39 48 49 
6 7 19 41 45 53 56 
11 18 31 38 46 54 62 
13 14 27 33 40 47 61 

