0
0 1 2 3 4 5 6 7 
8 9 10 11 12 13 14 15 
16 17 18 19 20 21 22 23 
24 25 26 27 28 29 30 31 
32 33 34 35 36 37 38 39 
40 41 42 43 44 45 46 47 
48 49 50 51 52 53 54 55 
56 57 58 59 60 61 62 63 
64 65 66 67 68 69 70 71 
72 73 74 75 76 77 78 79 

0 14 20 39 45 51 57 71 
1 22 25 36 44 55 58 70 
2 13 21 28 33 52 68 77 
3 8 24 35 40 61 66 79 
4 11 37 42 54 62 65 78 
5 9 23 26 34 48 69 76 
6 12 16 30 47 60 64 74 
7 18 29 38 46 50 56 73 
15 19 27 41 53 63 67 72 
10 17 31 32 43 49 59 75 

0 9 22 31 37 50 67 74 
1 12 18 40 54 59 68 72 
2 15 17 29 39 42 48 61 
3 11 30 33 43 57 69 73 
4 8 20 34 44 53 60 75 
5 10 27 38 47 58 71 77 
6 14 23 24 36 52 56 65 
7 16 28 41 55 62 66 76 
21 26 32 46 51 63 70 79 
13 19 25 35 45 49 64 78 

0 16 27 34 43 54 56 70 
1 20 29 33 47 49 65 79 
2 11 23 35 46 53 58 74 
3 14 17 26 44 62 67 77 
4 10 22 30 45 48 66 72 
5 13 18 31 36 41 51 61 
6 8 19 38 42 57 68 76 
7 12 25 37 52 63 69 75 
9 21 24 39 55 59 64 73 
15 28 32 40 50 60 71 78 

